lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,jnr_sm_id,lead_stage,call_done_date,call_status,call_reason,snr_sm_id,assigned_date,cycle,reason_for_no_intrest,language,watched_percentage,lead_status
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,conversion,1/14/2022,successful,successful_conversion,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,converted
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,lead,1/8/2022,unsuccessful,lead_introduction,SNR501MG,1/8/2022,2,Will join in final year,Telugu,41.0,yet to convert
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,lead,1/8/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Will join in final year,Telugu,41.0,yet to convert
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,lead,1/8/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Will join in final year,Telugu,41.0,yet to convert
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,awareness,1/8/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Will join in final year,Telugu,41.0,yet to convert
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,lead,1/8/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Student not interested in domain,Telugu,50.0,yet to convert
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,lead,1/8/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Student not interested in domain,Telugu,50.0,yet to convert
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,awareness,1/10/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Student not interested in domain,Telugu,50.0,yet to convert
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,lead,1/8/2022,unsuccessful,lead_introduction,SNR501MG,1/8/2022,2,Will join in final year,Telugu,48.0,yet to convert
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,lead,1/9/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Will join in final year,Telugu,48.0,yet to convert
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,lead,1/11/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Will join in final year,Telugu,48.0,yet to convert
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,lead,1/14/2022,successful,demo_not_attended,SNR501MG,1/8/2022,2,Will join in final year,Telugu,48.0,yet to convert
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,awareness,1/14/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Will join in final year,Telugu,48.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,lead,1/15/2022,successful,lead_introduction,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,lead,1/16/2022,successful,demo_schedule,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,lead,1/20/2022,unsuccessful,demo_not_attended,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,lead,1/20/2022,successful,demo_not_attended,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,awareness,1/20/2022,successful,post_demo_followup,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,1/21/2022,unsuccessful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,1/22/2022,successful,followup_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,1/21/2022,successful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,yet to convert
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,conversion,1/22/2022,successful,successful_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,44.0,converted
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,lead,1/15/2022,successful,lead_introduction,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,lead,1/16/2022,successful,demo_schedule,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,lead,1/17/2022,successful,demo_not_attended,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,awareness,1/17/2022,successful,post_demo_followup,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,consideration,1/18/2022,successful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,consideration,1/19/2022,successful,followup_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,consideration,1/18/2022,unsuccessful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,yet to convert
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,JNR1001MG,conversion,1/19/2022,successful,successful_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,46.0,converted
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,lead,1/17/2022,unsuccessful,lead_introduction,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,lead,1/18/2022,successful,lead_introduction,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,lead,1/20/2022,unsuccessful,demo_schedule,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,lead,1/18/2022,successful,demo_schedule,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,lead,1/19/2022,successful,demo_not_attended,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,awareness,1/19/2022,successful,post_demo_followup,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,consideration,1/20/2022,unsuccessful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,consideration,1/21/2022,successful,followup_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,consideration,1/20/2022,successful,interested_for_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,yet to convert
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,JNR1001MG,conversion,1/21/2022,successful,successful_conversion,SNR501MG,1/15/2022,3,Shown Interest,Telugu,50.0,converted
USR1014,22,MALE,Hyderabad,Looking for Job,IT Employee,SEO,JNR1001MG,lead,1/17/2022,successful,lead_introduction,SNR501MG,1/15/2022,3,Wants offline classes,Telugu,51.0,yet to convert
USR1014,22,MALE,Hyderabad,Looking for Job,IT Employee,SEO,JNR1001MG,lead,1/18/2022,successful,demo_schedule,SNR501MG,1/15/2022,3,Wants offline classes,Telugu,51.0,yet to convert
USR1014,22,MALE,Hyderabad,Looking for Job,IT Employee,SEO,JNR1001MG,awareness,1/19/2022,successful,post_demo_followup,SNR501MG,1/15/2022,3,Wants offline classes,Telugu,51.0,yet to convert
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,JNR1001MG,lead,1/15/2022,unsuccessful,lead_introduction,SNR501MG,1/15/2022,3,Wants offline classes,Hindi,44.0,yet to convert
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,JNR1001MG,lead,1/16/2022,successful,lead_introduction,SNR501MG,1/15/2022,3,Wants offline classes,Hindi,44.0,yet to convert
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,JNR1001MG,lead,1/18/2022,successful,demo_schedule,SNR501MG,1/15/2022,3,Wants offline classes,Hindi,44.0,yet to convert
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,JNR1001MG,awareness,1/19/2022,successful,post_demo_followup,SNR501MG,1/15/2022,3,Wants offline classes,Hindi,44.0,yet to convert
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,JNR1001MG,awareness,1/20/2022,successful,followup_for_consideration,SNR501MG,1/15/2022,3,Wants offline classes,Hindi,44.0,yet to convert
USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO,JNR1001MG,lead,2/19/2022,successful,lead_introduction,SNR501MG,2/19/2022,4,Cannot afford,English,47.0,yet to convert
USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO,JNR1001MG,lead,2/19/2022,successful,demo_schedule,SNR501MG,2/19/2022,4,Cannot afford,English,47.0,yet to convert
USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO,JNR1001MG,awareness,2/21/2022,successful,post_demo_followup,SNR501MG,2/19/2022,4,Cannot afford,English,47.0,yet to convert
USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO,JNR1001MG,lead,2/21/2022,unsuccessful,demo_not_attended,SNR501MG,2/19/2022,4,Cannot afford,English,47.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,lead,2/19/2022,successful,lead_introduction,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,lead,2/19/2022,successful,demo_schedule,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,awareness,2/19/2022,successful,post_demo_followup,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,awareness,2/20/2022,successful,followup_for_consideration,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,consideration,2/21/2022,successful,interested_for_conversion,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,consideration,2/21/2022,successful,followup_for_conversion,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,yet to convert
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,JNR1001MG,conversion,2/21/2022,successful,successful_conversion,SNR501MG,2/19/2022,4,Shown Interest,English,42.0,converted
USR1019,22,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media,JNR1001MG,lead,2/19/2022,successful,lead_introduction,SNR501MG,2/19/2022,4,Cannot afford,Hindi,38.0,yet to convert
USR1019,22,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media,JNR1001MG,lead,2/21/2022,successful,demo_schedule,SNR501MG,2/19/2022,4,Cannot afford,Hindi,38.0,yet to convert
USR1019,22,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media,JNR1001MG,awareness,2/21/2022,successful,post_demo_followup,SNR501MG,2/19/2022,4,Cannot afford,Hindi,38.0,yet to convert
USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media,JNR1001MG,lead,2/19/2022,unsuccessful,lead_introduction,SNR501MG,2/19/2022,4,Wants offline classes,English,36.0,yet to convert
USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media,JNR1001MG,lead,2/20/2022,successful,lead_introduction,SNR501MG,2/19/2022,4,Wants offline classes,English,36.0,yet to convert
USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media,JNR1001MG,lead,2/21/2022,successful,demo_schedule,SNR501MG,2/19/2022,4,Wants offline classes,English,36.0,yet to convert
USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media,JNR1001MG,awareness,2/22/2022,successful,post_demo_followup,SNR501MG,2/19/2022,4,Wants offline classes,English,36.0,yet to convert
USR1021,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,social_media,JNR1002MG,lead,1/1/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Student not interested in domain,English,100.0,yet to convert
USR1021,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,social_media,JNR1002MG,lead,1/2/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Student not interested in domain,English,100.0,yet to convert
USR1021,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,social_media,JNR1002MG,awareness,1/3/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Student not interested in domain,English,100.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,lead,1/1/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,lead,1/3/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,awareness,1/7/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,consideration,1/8/2022,successful,interested_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,consideration,1/9/2022,successful,followup_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,yet to convert
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,JNR1002MG,conversion,1/9/2022,successful,successful_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,5.0,converted
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,lead,1/1/2022,unsuccessful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,lead,1/1/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,lead,1/1/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,lead,1/1/2022,successful,demo_not_attended,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,awareness,1/1/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,consideration,1/2/2022,successful,interested_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,consideration,1/3/2022,successful,followup_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,yet to convert
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,JNR1002MG,conversion,1/3/2022,successful,successful_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,52.0,converted
USR1024,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,JNR1002MG,lead,1/2/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Cannot afford,Telugu,53.0,yet to convert
USR1024,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,JNR1002MG,lead,1/2/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Cannot afford,Telugu,53.0,yet to convert
USR1024,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,JNR1002MG,awareness,1/3/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Cannot afford,Telugu,53.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,lead,1/3/2022,unsuccessful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,lead,1/4/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,lead,1/4/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,awareness,1/6/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,awareness,1/7/2022,successful,followup_for_consideration,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,consideration,1/8/2022,successful,interested_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,consideration,1/8/2022,successful,followup_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,yet to convert
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,JNR1002MG,conversion,1/8/2022,successful,successful_conversion,SNR501MG,1/1/2022,1,Shown Interest,English,8.0,converted
USR1026,18,MALE,Kochi,B.Tech,Business,SEO,JNR1002MG,lead,1/8/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,No time for student,English,10.0,yet to convert
USR1026,18,MALE,Kochi,B.Tech,Business,SEO,JNR1002MG,lead,1/10/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,No time for student,English,10.0,yet to convert
USR1026,18,MALE,Kochi,B.Tech,Business,SEO,JNR1002MG,awareness,1/10/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,No time for student,English,10.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,lead,1/8/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,lead,1/9/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,lead,1/10/2022,successful,demo_not_attended,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,awareness,1/10/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,consideration,1/11/2022,successful,interested_for_conversion,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,consideration,1/12/2022,successful,followup_for_conversion,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,JNR1002MG,consideration,1/11/2022,unsuccessful,followup_for_conversion,SNR501MG,1/8/2022,2,Cannot afford,English,11.0,yet to convert
USR1028,18,FEMALE,Hyderabad,B.Tech,IT Employee,user_referrals,JNR1002MG,lead,1/8/2022,unsuccessful,lead_introduction,SNR501MG,1/8/2022,2,Wants offline classes,Telugu,50.0,yet to convert
